1609459456s | Voltage: 3.78 V, Current: 1521.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 1518.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 1517.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 1512.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1510.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1516.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1510.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1508.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1510.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1503.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1501.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1502.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.78 V, Current: 1498.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1494.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.79 V, Current: 1497.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.60 V, Current: 0.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.76 V, Current: 1400.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1274.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 1269.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1606.00 mA, SOC: 1.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1579.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1554.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1536.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.77 V, Current: 1424.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1516.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1507.00 mA, SOC: 2.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.79 V, Current: 1496.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 1515.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 1505.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.80 V, Current: 1507.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1623.00 mA, SOC: 3.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1592.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1616.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1587.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1596.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.81 V, Current: 1596.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1596.00 mA, SOC: 4.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1566.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1562.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1581.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1585.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1547.00 mA, SOC: 5.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1564.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1550.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1556.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1561.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1531.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.82 V, Current: 1561.00 mA, SOC: 6.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1554.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1553.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.82 V, Current: 1536.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1529.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.82 V, Current: 1550.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1518.00 mA, SOC: 7.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.80 V, Current: 1386.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
