1609459328s | Voltage: 3.79 V, Current: -2285.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 3.79 V, Current: -2323.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1890.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.84 V, Current: -1897.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1889.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1898.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1900.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1893.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1909.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.83 V, Current: -1909.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1907.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1913.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1915.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.95 V, Current: -842.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.77 V, Current: -2403.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.76 V, Current: -2414.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.76 V, Current: -2433.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1926.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1927.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1929.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1935.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1934.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1926.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1929.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1936.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.82 V, Current: -1935.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.81 V, Current: -1952.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.93 V, Current: -999.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.96 V, Current: -683.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.97 V, Current: -670.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.97 V, Current: -667.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.98 V, Current: -670.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.98 V, Current: -668.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.98 V, Current: -653.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.98 V, Current: -664.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.98 V, Current: -699.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.78 V, Current: -2415.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.76 V, Current: -2461.00 mA, SOC: 88.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.76 V, Current: -2458.00 mA, SOC: 88.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.81 V, Current: -1955.00 mA, SOC: 88.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.82 V, Current: -1961.00 mA, SOC: 88.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.81 V, Current: -1961.00 mA, SOC: 87.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.82 V, Current: -1961.00 mA, SOC: 87.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.80 V, Current: -1965.00 mA, SOC: 87.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.81 V, Current: -1962.00 mA, SOC: 87.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.81 V, Current: -1971.00 mA, SOC: 87.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.80 V, Current: -1976.00 mA, SOC: 86.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.80 V, Current: -1975.00 mA, SOC: 86.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.81 V, Current: -1989.00 mA, SOC: 86.0 %, USB_Protocol: 114, USB_Current: 5700 mA
