1609459200s | Voltage: 3.74 V, Current: 1097.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 1131.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.75 V, Current: 1232.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.76 V, Current: 1233.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 1370.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.77 V, Current: 1370.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1372.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.78 V, Current: 1376.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 710.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 683.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 669.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 656.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 583.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 394.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 508.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 525.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 478.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 553.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 639.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 619.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.65 V, Current: 415.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 484.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 496.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 420.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 539.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.65 V, Current: 506.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
