1609459328s | Voltage: 4.09 V, Current: -607.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.08 V, Current: -610.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -610.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -607.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.09 V, Current: -610.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.08 V, Current: -607.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459328s | Voltage: 4.08 V, Current: -611.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -612.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -609.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -612.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -609.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -614.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -615.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -613.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -614.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.08 V, Current: -614.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -613.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -619.00 mA, SOC: 97.0 %, USB_Protocol: 114, USB_Current: 5700 mA
