1609459456s | Voltage: 3.50 V, Current: -666.00 mA, SOC: 2.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.51 V, Current: -658.00 mA, SOC: 2.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.49 V, Current: -682.00 mA, SOC: 2.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.49 V, Current: -769.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.50 V, Current: -665.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.49 V, Current: -773.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.44 V, Current: -1358.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.46 V, Current: -993.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.50 V, Current: -671.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.38 V, Current: -1806.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.43 V, Current: -1162.00 mA, SOC: 1.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.45 V, Current: -1008.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.45 V, Current: -1037.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.46 V, Current: -1004.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.48 V, Current: -842.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.46 V, Current: -981.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1012.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -944.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -863.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1020.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1021.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -799.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.44 V, Current: -1027.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -784.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1027.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1015.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -834.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -984.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1016.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
