1609459456s | Voltage: 3.48 V, Current: -1905.00 mA, SOC: 50.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.45 V, Current: -2035.00 mA, SOC: 49.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.47 V, Current: -1892.00 mA, SOC: 49.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.46 V, Current: -1810.00 mA, SOC: 49.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.44 V, Current: -1957.00 mA, SOC: 49.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.42 V, Current: -1922.00 mA, SOC: 48.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.48 V, Current: -1816.00 mA, SOC: 48.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.45 V, Current: -1786.00 mA, SOC: 48.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.47 V, Current: -1773.00 mA, SOC: 48.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.46 V, Current: -1758.00 mA, SOC: 48.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.54 V, Current: -1746.00 mA, SOC: 47.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.45 V, Current: -1858.00 mA, SOC: 47.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.54 V, Current: -1562.00 mA, SOC: 47.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.40 V, Current: -1725.00 mA, SOC: 47.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.54 V, Current: -1450.00 mA, SOC: 47.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.53 V, Current: -1821.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.46 V, Current: -1689.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.51 V, Current: -1673.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.52 V, Current: -1654.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.43 V, Current: -1494.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -1582.00 mA, SOC: 46.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.49 V, Current: -1786.00 mA, SOC: 45.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.42 V, Current: -1780.00 mA, SOC: 45.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.54 V, Current: -1626.00 mA, SOC: 45.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.40 V, Current: -1672.00 mA, SOC: 45.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.41 V, Current: -1668.00 mA, SOC: 45.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.53 V, Current: -1562.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.44 V, Current: -1550.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.52 V, Current: -1457.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.50 V, Current: -1454.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -1369.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.55 V, Current: -1418.00 mA, SOC: 44.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.51 V, Current: -1422.00 mA, SOC: 43.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.47 V, Current: -1457.00 mA, SOC: 43.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -1456.00 mA, SOC: 43.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.46 V, Current: -1520.00 mA, SOC: 43.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.48 V, Current: -1343.00 mA, SOC: 43.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.46 V, Current: -1524.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.51 V, Current: -1461.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.55 V, Current: -1519.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.55 V, Current: -1464.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.53 V, Current: -1544.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.55 V, Current: -1400.00 mA, SOC: 42.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.49 V, Current: -1526.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.52 V, Current: -1464.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.54 V, Current: -1487.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.48 V, Current: -1481.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.45 V, Current: -1519.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.54 V, Current: -1510.00 mA, SOC: 41.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.49 V, Current: -1440.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -1441.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.55 V, Current: -1360.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.48 V, Current: -1474.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.54 V, Current: -1508.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.54 V, Current: -1609.00 mA, SOC: 40.0 %, USB_Protocol: 114, USB_Current: 5700 mA
